epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7564,1.1927,2.00865,1.21496,0.95482,0.64086,0.67868,0.49065,1.17488,2.70769,1.10636,0.000469224,0.000469224,0.000469224
2,41.7762,1.07821,0.7822,1.15396,0.81768,0.97294,0.96906,0.61324,1.35973,0.92483,1.43661,0.000936196,0.000936196,0.000936196
3,56.4783,1.04198,0.69656,1.14766,0.73804,0.90334,0.85809,0.49717,1.6121,1.18193,1.68535,0.00139374,0.00139374,0.00139374
4,71.138,1.04707,0.67961,1.15106,0.96034,0.97945,0.98406,0.71331,1.31592,0.68087,1.41133,0.00138656,0.00138656,0.00138656
5,85.8617,1.02388,0.64113,1.13948,0.86883,0.97948,0.96019,0.69219,1.26207,0.8046,1.34885,0.00137241,0.00137241,0.00137241
6,100.765,0.99738,0.58351,1.12653,0.9825,0.99163,0.99059,0.7366,1.1682,0.53639,1.24696,0.00135826,0.00135826,0.00135826
7,115.99,0.99854,0.56767,1.1241,0.82692,0.94843,0.94531,0.57502,1.37197,0.68533,1.48725,0.00134412,0.00134412,0.00134412
8,131.248,0.98975,0.54057,1.12336,0.92935,0.982,0.97169,0.63975,1.32484,0.71124,1.40513,0.00132997,0.00132997,0.00132997
9,146.067,1.02842,0.54653,1.14908,0.91408,0.98215,0.97538,0.71861,1.20905,0.53833,1.34174,0.00131582,0.00131582,0.00131582
10,160.779,0.97656,0.51503,1.11886,0.8603,0.96933,0.88603,0.57705,1.2239,0.71915,1.30254,0.00130168,0.00130168,0.00130168
11,175.56,0.97612,0.50502,1.12277,0.98138,0.99188,0.98539,0.7393,1.19393,0.47235,1.34309,0.00128753,0.00128753,0.00128753
12,190.469,0.96347,0.49185,1.11278,0.98319,0.98531,0.98081,0.73649,1.17873,0.48144,1.33849,0.00127338,0.00127338,0.00127338
13,205.583,0.94579,0.47008,1.10626,0.97727,0.99099,0.98738,0.7569,1.24896,0.47411,1.39892,0.00125923,0.00125923,0.00125923
14,220.667,0.96337,0.47157,1.11944,0.98083,0.98907,0.98827,0.72903,1.33589,0.49958,1.48635,0.00124509,0.00124509,0.00124509
15,235.608,0.9434,0.45716,1.10403,0.895,0.96326,0.94163,0.60603,1.18498,0.55283,1.34017,0.00123094,0.00123094,0.00123094
16,250.61,0.94307,0.45099,1.10585,0.94651,0.99017,0.98961,0.76155,1.21513,0.47204,1.37778,0.00121679,0.00121679,0.00121679
17,265.387,0.95386,0.44875,1.112,0.98557,0.97797,0.99123,0.76661,1.19191,0.44258,1.35093,0.00120265,0.00120265,0.00120265
18,280.136,0.93371,0.44155,1.10861,0.98658,0.99696,0.99307,0.76588,1.16033,0.43287,1.30696,0.0011885,0.0011885,0.0011885
19,294.859,0.92245,0.43271,1.10236,0.98237,0.99267,0.99131,0.75241,1.20092,0.43599,1.3419,0.00117435,0.00117435,0.00117435
20,309.594,0.93011,0.42669,1.10495,0.98673,0.99311,0.99128,0.75676,1.16847,0.42325,1.35045,0.00116021,0.00116021,0.00116021
21,324.384,0.93482,0.43374,1.10889,0.98201,0.99104,0.99115,0.76545,1.19989,0.45175,1.38569,0.00114606,0.00114606,0.00114606
22,339.097,0.91853,0.42302,1.10555,0.85534,0.96933,0.91185,0.65453,1.18999,0.65276,1.32918,0.00113191,0.00113191,0.00113191
23,353.825,0.91863,0.41668,1.09815,0.98454,0.99186,0.99169,0.77459,1.14686,0.40623,1.35149,0.00111776,0.00111776,0.00111776
24,368.591,0.92097,0.41652,1.10151,0.9473,0.99244,0.98916,0.74896,1.18437,0.4316,1.34344,0.00110362,0.00110362,0.00110362
25,383.328,0.91252,0.41192,1.0962,0.93755,0.97914,0.98852,0.74879,1.18701,0.42736,1.37621,0.00108947,0.00108947,0.00108947
26,398.076,0.90846,0.40963,1.10166,0.98577,0.99121,0.99124,0.75852,1.16791,0.41597,1.3514,0.00107532,0.00107532,0.00107532
27,412.808,0.91429,0.40712,1.10003,0.98734,0.99407,0.99164,0.77456,1.13789,0.40607,1.35562,0.00106118,0.00106118,0.00106118
28,427.623,0.92132,0.41259,1.11024,0.98664,0.9933,0.99106,0.74684,1.22595,0.4071,1.43045,0.00104703,0.00104703,0.00104703
29,442.378,0.9026,0.40123,1.09162,0.98444,0.99311,0.99032,0.76209,1.14122,0.4121,1.33092,0.00103288,0.00103288,0.00103288
30,457.095,0.90473,0.40374,1.0983,0.97835,0.99152,0.9918,0.76438,1.23521,0.41612,1.40775,0.00101873,0.00101873,0.00101873
31,471.771,0.9026,0.39368,1.09207,0.9848,0.99826,0.99436,0.76365,1.15118,0.39181,1.33968,0.00100459,0.00100459,0.00100459
32,486.583,0.89067,0.39163,1.09641,0.99715,0.99904,0.99437,0.78991,1.13782,0.3953,1.32018,0.00099044,0.00099044,0.00099044
33,501.336,0.88898,0.39186,1.09889,0.99277,0.99291,0.99172,0.77336,1.11426,0.39655,1.30584,0.000976293,0.000976293,0.000976293
