epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,516.158,0.89314,0.38771,1.08326,0.98851,0.99679,0.99485,0.77215,1.16363,0.39171,1.3593,0.000962146,0.000962146,0.000962146
35,530.884,0.89002,0.38291,1.08985,0.99646,0.99874,0.99448,0.7702,1.11768,0.3774,1.30192,0.000947999,0.000947999,0.000947999
36,545.721,0.89506,0.38783,1.09329,0.98742,0.99407,0.99243,0.76157,1.19906,0.40868,1.40044,0.000933851,0.000933851,0.000933851
37,560.556,0.88871,0.38448,1.0898,0.9237,0.99407,0.99204,0.78356,1.106,0.38987,1.3277,0.000919704,0.000919704,0.000919704
38,575.325,0.88874,0.38505,1.0913,0.99043,0.99311,0.99226,0.766,1.16336,0.39386,1.37044,0.000905557,0.000905557,0.000905557
39,590.119,0.88449,0.37476,1.07927,0.99088,0.99138,0.99195,0.76621,1.21971,0.3966,1.42477,0.00089141,0.00089141,0.00089141
40,604.924,0.88527,0.37474,1.0914,0.98759,0.99407,0.99242,0.77859,1.14791,0.38404,1.33687,0.000877263,0.000877263,0.000877263
41,619.661,0.87715,0.37162,1.08213,0.98661,0.99324,0.98949,0.76583,1.16951,0.37913,1.36958,0.000863116,0.000863116,0.000863116
42,634.425,0.86946,0.37203,1.08199,0.99257,0.99904,0.99472,0.78697,1.12723,0.37985,1.33338,0.000848969,0.000848969,0.000848969
43,649.216,0.8788,0.36967,1.08636,0.98448,0.99047,0.99283,0.76183,1.16091,0.38725,1.38905,0.000834822,0.000834822,0.000834822
44,663.994,0.87728,0.37332,1.0864,0.98779,0.99212,0.98904,0.76664,1.18653,0.39262,1.32407,0.000820675,0.000820675,0.000820675
45,678.732,0.85899,0.36822,1.07698,0.9356,0.99904,0.99248,0.73539,1.1727,0.41079,1.39195,0.000806528,0.000806528,0.000806528
46,693.562,0.88042,0.37942,1.08796,0.98783,0.99311,0.9928,0.7566,1.20548,0.40708,1.41901,0.00079238,0.00079238,0.00079238
47,708.32,0.881,0.37043,1.07815,0.99123,0.99283,0.99268,0.78575,1.17722,0.38566,1.38455,0.000778233,0.000778233,0.000778233
48,723.091,0.87232,0.36346,1.08852,0.9904,0.9978,0.99427,0.76169,1.24077,0.41817,1.45844,0.000764086,0.000764086,0.000764086
49,737.868,0.85645,0.36185,1.07606,0.99088,0.99407,0.99033,0.78494,1.17357,0.38752,1.36801,0.000749939,0.000749939,0.000749939
50,752.642,0.85418,0.35852,1.07194,0.99069,0.99788,0.99381,0.76786,1.20276,0.39624,1.40467,0.000735792,0.000735792,0.000735792
51,767.405,0.86336,0.35689,1.07412,0.98676,0.99311,0.99247,0.78228,1.21094,0.39532,1.435,0.000721645,0.000721645,0.000721645
52,782.21,0.8557,0.35878,1.08075,0.98926,0.99407,0.99016,0.77375,1.22031,0.39435,1.41076,0.000707498,0.000707498,0.000707498
