epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,625.949,1.07294,0.43584,1.14722,0.99655,0.99686,0.9937,0.68329,1.35583,0.42422,1.47201,0.000848969,0.000848969,0.000848969
43,640.603,1.08006,0.43443,1.15393,0.99328,0.99682,0.99355,0.6584,1.37057,0.42355,1.47587,0.000834822,0.000834822,0.000834822
44,655.281,1.07777,0.4349,1.15244,0.99713,0.99828,0.99384,0.67763,1.34416,0.41676,1.44795,0.000820675,0.000820675,0.000820675
45,669.907,1.05429,0.42632,1.14207,0.99613,0.99581,0.99448,0.66574,1.36663,0.42656,1.50764,0.000806528,0.000806528,0.000806528
46,684.579,1.0754,0.43705,1.15125,0.9931,0.99405,0.9911,0.6516,1.47843,0.44858,1.61115,0.00079238,0.00079238,0.00079238
47,699.263,1.07759,0.42673,1.14002,0.99651,0.99856,0.99264,0.66078,1.31411,0.4153,1.4444,0.000778233,0.000778233,0.000778233
48,713.933,1.06942,0.42591,1.15587,0.9976,0.9973,0.99392,0.67183,1.36123,0.4169,1.50623,0.000764086,0.000764086,0.000764086
49,728.642,1.05905,0.42601,1.145,0.9978,0.99838,0.99391,0.66717,1.33585,0.40444,1.47017,0.000749939,0.000749939,0.000749939
50,743.306,1.0557,0.41998,1.14221,0.99642,0.9982,0.99361,0.66726,1.40601,0.42517,1.52792,0.000735792,0.000735792,0.000735792
51,757.985,1.06411,0.42004,1.14295,0.99808,0.9984,0.99411,0.67485,1.37209,0.41243,1.51183,0.000721645,0.000721645,0.000721645
52,772.66,1.05407,0.42197,1.14558,0.9966,0.99694,0.99349,0.65875,1.38499,0.42337,1.51072,0.000707498,0.000707498,0.000707498
53,787.343,1.06243,0.42592,1.14472,0.99789,0.99822,0.99403,0.6677,1.29477,0.41428,1.42899,0.000693351,0.000693351,0.000693351
54,802.058,1.05038,0.41342,1.14386,0.99659,0.99641,0.99377,0.66626,1.41036,0.41936,1.56602,0.000679204,0.000679204,0.000679204
55,816.743,1.05193,0.41557,1.1371,0.99377,0.99486,0.99273,0.68598,1.28551,0.4053,1.4368,0.000665057,0.000665057,0.000665057
56,831.365,1.06429,0.41589,1.14833,0.99473,0.99538,0.99321,0.67781,1.33943,0.40974,1.47825,0.000650909,0.000650909,0.000650909
57,846.011,1.04012,0.40358,1.13092,0.99502,0.99452,0.99335,0.66914,1.39861,0.41126,1.52985,0.000636762,0.000636762,0.000636762
58,860.707,1.04068,0.40446,1.12992,0.99641,0.99856,0.9934,0.65931,1.33585,0.40627,1.46659,0.000622615,0.000622615,0.000622615
59,875.353,1.03754,0.40864,1.13639,0.99337,0.99364,0.99166,0.67094,1.37069,0.41623,1.51276,0.000608468,0.000608468,0.000608468
60,890.028,1.04047,0.40957,1.13732,0.9944,0.99515,0.99328,0.65539,1.4401,0.4361,1.59582,0.000594321,0.000594321,0.000594321
61,904.662,1.04735,0.41121,1.13577,0.99727,0.99856,0.99375,0.67765,1.33777,0.41304,1.47437,0.000580174,0.000580174,0.000580174
62,919.293,1.03418,0.40151,1.13615,0.99647,0.99694,0.99416,0.67734,1.32909,0.40361,1.47848,0.000566027,0.000566027,0.000566027
63,933.982,1.04218,0.40404,1.13217,0.99296,0.99511,0.99266,0.6538,1.42492,0.41638,1.5844,0.00055188,0.00055188,0.00055188
64,948.672,1.03504,0.40901,1.14479,0.99614,0.99682,0.99338,0.67724,1.35284,0.40018,1.49894,0.000537733,0.000537733,0.000537733
65,963.367,1.02516,0.4011,1.13081,0.99675,0.99698,0.99351,0.65961,1.42648,0.41269,1.57901,0.000523586,0.000523586,0.000523586
66,977.998,1.03412,0.4021,1.1238,0.99625,0.99682,0.99346,0.67622,1.36096,0.41011,1.50299,0.000509438,0.000509438,0.000509438
67,992.667,1.02651,0.40328,1.12657,0.99642,0.99828,0.99345,0.67903,1.32636,0.3993,1.4738,0.000495291,0.000495291,0.000495291
68,1007.4,1.01344,0.39288,1.11187,0.9963,0.99682,0.99299,0.67776,1.37826,0.40543,1.53869,0.000481144,0.000481144,0.000481144
69,1022.04,1.02728,0.39401,1.13697,0.99622,0.99682,0.99318,0.67766,1.39184,0.41049,1.53374,0.000466997,0.000466997,0.000466997
70,1036.72,1.01276,0.39029,1.12153,0.99492,0.99538,0.99313,0.67302,1.37588,0.408,1.52786,0.00045285,0.00045285,0.00045285
71,1051.33,1.01969,0.39891,1.1339,0.99621,0.99682,0.99304,0.68243,1.31742,0.39195,1.46861,0.000438703,0.000438703,0.000438703
72,1066,1.00848,0.39,1.11605,0.99361,0.99538,0.9925,0.68343,1.37362,0.41166,1.52255,0.000424556,0.000424556,0.000424556
73,1080.68,1.0087,0.38927,1.11196,0.99634,0.99682,0.99349,0.66807,1.34766,0.40761,1.50553,0.000410409,0.000410409,0.000410409
74,1095.38,1.00672,0.39089,1.12058,0.99549,0.99835,0.99352,0.67831,1.39395,0.4055,1.54666,0.000396262,0.000396262,0.000396262
75,1110.08,1.00807,0.3878,1.11764,0.99763,0.99856,0.99342,0.67677,1.38133,0.40376,1.53273,0.000382115,0.000382115,0.000382115
